latin_name;english_name;german_name
Crex crex;Corn Crake;Wachtelkönig
Dendrocopos major;Great Spotted Woodpecker;Buntspecht
Dendrocoptes medius;Middle Spotted Woodpecker;Mittelspecht
Dryobates minor;Lesser Spotted Woodpecker;Kleinspecht
Dryocopus martius;Black Woodpecker;Schwarzspecht
Fringilla coelebs;Common Chaffinch;Buchfink
Jynx torquilla;Eurasian Wryneck;Wendehals
Phoenicurus phoenicurus;Common Redstart;Gartenrotschwanz
Picus viridis;European Green Woodpecker;Grünspecht
Porzana porzana;Spotted Crake;Tüpfelsumpfhuhn
Turdus philomelos;Song Thrush;Singdrossel
